"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
21,"Member of County Council At-Large (Vote For 1)","WRITE-IN","",367,0.14,957735,0,1322,1322,"0","0"
22,"Member of County Council DISTRICT 2 (Vote For 1)","Christine Allen","DEM",10509,45.80,77209,0,70,70,"0","0"
23,"Member of County Council DISTRICT 2 (Vote For 1)","Cindy Kirk","REP",12413,54.10,77209,0,70,70,"0","0"
24,"Member of County Council DISTRICT 2 (Vote For 1)","WRITE-IN","",22,0.10,77209,0,70,70,"0","0"
25,"Member of County Council DISTRICT 5 (Vote For 1)","Tom Duerr","DEM",14842,59.82,73471,0,88,88,"0","0"
26,"Member of County Council DISTRICT 5 (Vote For 1)","Sue Means","REP",9954,40.12,73471,0,88,88,"0","0"
27,"Member of County Council DISTRICT 5 (Vote For 1)","WRITE-IN","",15,0.06,73471,0,88,88,"0","0"
28,"Member of County Council DISTRICT 6 (Vote For 1)","John F. Palmiere","DEM",11145,59.30,69979,0,99,99,"0","0"
29,"Member of County Council DISTRICT 6 (Vote For 1)","Michael Freedman","REP",7627,40.58,69979,0,99,99,"0","0"
30,"Member of County Council DISTRICT 6 (Vote For 1)","WRITE-IN","",23,0.12,69979,0,99,99,"0","0"
31,"Member of County Council DISTRICT 7 (Vote For 1)","Nick Futules","D/R",18421,99.29,70081,0,105,105,"0","0"
32,"Member of County Council DISTRICT 7 (Vote For 1)","WRITE-IN","",132,0.71,70081,0,105,105,"0","0"
33,"Member of County Council DISTRICT 10 (Vote For 1)","DeWitt Walton","DEM",17295,98.98,84405,0,133,133,"0","0"
34,"Member of County Council DISTRICT 10 (Vote For 1)","WRITE-IN","",179,1.02,84405,0,133,133,"0","0"
35,"Member of County Council DISTRICT 11 (Vote For 1)","Paul Klein","DEM",19081,98.97,79699,0,113,113,"0","0"
36,"Member of County Council DISTRICT 11 (Vote For 1)","WRITE-IN","",199,1.03,79699,0,113,113,"0","0"
37,"Member of County Council DISTRICT 13 (Vote For 1)","Olivia Bennett","DEM",17074,98.93,76476,0,116,116,"0","0"
38,"Member of County Council DISTRICT 13 (Vote For 1)","WRITE-IN","",185,1.07,76476,0,116,116,"0","0"
39,"Member of County Council DISTRICT 8 (Vote For 1)","Paul Zavarella","DEM",14957,98.51,70363,0,97,97,"0","0"
40,"Member of County Council DISTRICT 8 (Vote For 1)","WRITE-IN","",226,1.49,70363,0,97,97,"0","0"
41,"Controller CITYWIDE (Vote For 1)","Michael E. Lamb","DEM",58352,99.10,254941,0,402,402,"0","0"
42,"Controller CITYWIDE (Vote For 1)","WRITE-IN","",528,0.90,254941,0,402,402,"0","0"
43,"Member of Council DISTRICT 1 (Vote For 1)","Bobby Wilson","DEM",3975,59.88,24344,0,39,39,"0","0"
44,"Member of Council DISTRICT 1 (Vote For 1)","Chris Rosselot","NFC",2341,35.27,24344,0,39,39,"0","0"
45,"Member of Council DISTRICT 1 (Vote For 1)","Malcolm Jarrett","SOC",282,4.25,24344,0,39,39,"0","0"
46,"Member of Council DISTRICT 1 (Vote For 1)","WRITE-IN","",40,0.60,24344,0,39,39,"0","0"
47,"Member of Council DISTRICT 3 (Vote For 1)","Bruce A. Kraus","DEM",3398,69.42,30876,0,41,41,"0","0"
48,"Member of Council DISTRICT 3 (Vote For 1)","Jacob A. Nixon","IND",1474,30.11,30876,0,41,41,"0","0"
49,"Member of Council DISTRICT 3 (Vote For 1)","WRITE-IN","",23,0.47,30876,0,41,41,"0","0"
50,"Member of Council DISTRICT 5 (Vote For 1)","Corey O'Connor","DEM",8263,97.91,28045,0,47,47,"0","0"
51,"Member of Council DISTRICT 5 (Vote For 1)","WRITE-IN","",176,2.09,28045,0,47,47,"0","0"
52,"Member of Council DISTRICT 7 (Vote For 1)","Deb Gross","DEM",8633,97.37,31735,0,46,46,"0","0"
53,"Member of Council DISTRICT 7 (Vote For 1)","WRITE-IN","",233,2.63,31735,0,46,46,"0","0"
54,"Member of Council DISTRICT 9 (Vote For 1)","Ricky V. Burgess","DEM",3272,41.00,28303,0,60,60,"0","0"
55,"Member of Council DISTRICT 9 (Vote For 1)","B. DeNeice Welch","CFW",2068,25.91,28303,0,60,60,"0","0"
56,"Member of Council DISTRICT 9 (Vote For 1)","Barbara Daniels","CFD",372,4.66,28303,0,60,60,"0","0"
57,"Member of Council DISTRICT 9 (Vote For 1)","Randall Taylor","IRT",2246,28.15,28303,0,60,60,"0","0"
58,"Member of Council DISTRICT 9 (Vote For 1)","WRITE-IN","",22,0.28,28303,0,60,60,"0","0"
59,"School Director DISTRICT 2 (Vote For 1)","Devon Taliaferro","DEM",7939,82.20,32416,0,51,51,"0","0"
60,"School Director DISTRICT 2 (Vote For 1)","Kirk Rys","REP",1703,17.63,32416,0,51,51,"0","0"
61,"School Director DISTRICT 2 (Vote For 1)","WRITE-IN","",16,0.17,32416,0,51,51,"0","0"
62,"School Director DISTRICT 4 (Vote For 1)","Pam Harbin","D/R",7661,98.52,36381,0,37,37,"0","0"
63,"School Director DISTRICT 4 (Vote For 1)","WRITE-IN","",115,1.48,36381,0,37,37,"0","0"
64,"School Director DISTRICT 6 (Vote For 1)","William J. Gallagher","DEM",6381,98.50,27181,0,49,49,"0","0"
65,"School Director DISTRICT 6 (Vote For 1)","WRITE-IN","",97,1.50,27181,0,49,49,"0","0"
66,"School Director DISTRICT 8 (Vote For 1)","Kevin L. Carter","DEM",4668,99.09,26511,0,42,42,"0","0"
67,"School Director DISTRICT 8 (Vote For 1)","WRITE-IN","",43,0.91,26511,0,42,42,"0","0"
68,"Magisterial District Judge 05-02-13 (Vote For 1)","Eugene F. Riazzi, Jr.","D/R",2860,99.58,12613,0,32,32,"0","0"
69,"Magisterial District Judge 05-02-13 (Vote For 1)","WRITE-IN","",12,0.42,12613,0,32,32,"0","0"
70,"Magisterial District Judge 05-02-14 (Vote For 1)","Richard D. Olasz, Jr.","D/R",4587,98.77,17691,0,29,29,"0","0"
71,"Magisterial District Judge 05-02-14 (Vote For 1)","WRITE-IN","",57,1.23,17691,0,29,29,"0","0"
72,"Magisterial District Judge 05-02-25 (Vote For 1)","Michele Santicola","DEM",4182,57.31,25768,0,25,25,"0","0"
73,"Magisterial District Judge 05-02-25 (Vote For 1)","Max Feldman","REP",3108,42.59,25768,0,25,25,"0","0"
74,"Magisterial District Judge 05-02-25 (Vote For 1)","WRITE-IN","",7,0.10,25768,0,25,25,"0","0"
75,"Magisterial District Judge 05-02-26 (Vote For 1)","Beth Scagline-Mills","D/R",3447,99.25,12701,0,17,17,"0","0"
76,"Magisterial District Judge 05-02-26 (Vote For 1)","WRITE-IN","",26,0.75,12701,0,17,17,"0","0"
77,"Magisterial District Judge 05-02-28 (Vote For 1)","Oscar J. Petite, Jr.","D/R",2825,99.02,17616,0,27,27,"0","0"
78,"Magisterial District Judge 05-02-28 (Vote For 1)","WRITE-IN","",28,0.98,17616,0,27,27,"0","0"
79,"Magisterial District Judge 05-03-17 (Vote For 1)","Anthony W. Saveikis","D/R",3439,99.08,16659,0,11,11,"0","0"
80,"Magisterial District Judge 05-03-17 (Vote For 1)","WRITE-IN","",32,0.92,16659,0,11,11,"0","0"
81,"School Director At Large v3 t4 STEEL VALLEY (Vote For 3)","David Colasante","D/R",2527,35.56,12119,0,21,21,"0","0"
82,"School Director At Large v3 t4 STEEL VALLEY (Vote For 3)","Meghan Beth Fitzgerald","D/R",2311,32.52,12119,0,21,21,"0","0"
83,"School Director At Large v3 t4 STEEL VALLEY (Vote For 3)","Maya Lynne Adams","D/R",2208,31.07,12119,0,21,21,"0","0"
84,"School Director At Large v3 t4 STEEL VALLEY (Vote For 3)","WRITE-IN","",61,0.86,12119,0,21,21,"0","0"
85,"School Director At-Large CLAIRTON (Vote For 1)","Roger Tachoir","D/R",850,99.07,4594,0,12,12,"0","0"
86,"School Director At-Large CLAIRTON (Vote For 1)","WRITE-IN","",8,0.93,4594,0,12,12,"0","0"
87,"School Director At-Large STO-ROX (Vote For 1)","Grace L. Weber","DEM",1340,98.24,8487,0,18,18,"0","0"
88,"School Director At-Large STO-ROX (Vote For 1)","WRITE-IN","",24,1.76,8487,0,18,18,"0","0"
89,"School Director ALLEGHENY VALLEY (Vote For 5)","Paula Jean Moretti","D/R",1472,18.40,7227,0,10,10,"0","0"
90,"School Director ALLEGHENY VALLEY (Vote For 5)","Kathleen Jean Haas","D/R",1447,18.09,7227,0,10,10,"0","0"
91,"School Director ALLEGHENY VALLEY (Vote For 5)","Glenna L. Renaldi","DEM",1047,13.09,7227,0,10,10,"0","0"
92,"School Director ALLEGHENY VALLEY (Vote For 5)","Steve Puskar","D/R",1388,17.35,7227,0,10,10,"0","0"
93,"School Director ALLEGHENY VALLEY (Vote For 5)","James M. Gaschler, Jr.","D/R",1447,18.09,7227,0,10,10,"0","0"
94,"School Director ALLEGHENY VALLEY (Vote For 5)","David M. Buchman","REP",1160,14.50,7227,0,10,10,"0","0"
95,"School Director ALLEGHENY VALLEY (Vote For 5)","WRITE-IN","",39,0.49,7227,0,10,10,"0","0"
96,"School Director AVONWORTH (Vote For 5)","Kristin M. Thompson","D/R",2162,20.69,9418,0,9,9,"0","0"
97,"School Director AVONWORTH (Vote For 5)","Kathryn Monti","D/R",2096,20.06,9418,0,9,9,"0","0"
98,"School Director AVONWORTH (Vote For 5)","Danielle White","D/R",2054,19.66,9418,0,9,9,"0","0"
99,"School Director AVONWORTH (Vote For 5)","Yuling Cheng","D/R",2021,19.35,9418,0,9,9,"0","0"
100,"School Director AVONWORTH (Vote For 5)","John Brandt","D/R",2079,19.90,9418,0,9,9,"0","0"
101,"School Director AVONWORTH (Vote For 5)","WRITE-IN","",35,0.34,9418,0,9,9,"0","0"
102,"School Director BALDWIN WHITEHALL (Vote For 5)","Peter D. Giglione","D/R",5636,19.02,28068,0,38,38,"0","0"
103,"School Director BALDWIN WHITEHALL (Vote For 5)","Janice Tarson","D/R",5598,18.89,28068,0,38,38,"0","0"
104,"School Director BALDWIN WHITEHALL (Vote For 5)","Anthony DiCesaro","D/R",5628,18.99,28068,0,38,38,"0","0"
105,"School Director BALDWIN WHITEHALL (Vote For 5)","Daniel Knezevich","D/R",5558,18.75,28068,0,38,38,"0","0"
106,"School Director BALDWIN WHITEHALL (Vote For 5)","Robert Achtzehn","DEM",4343,14.65,28068,0,38,38,"0","0"
107,"School Director BALDWIN WHITEHALL (Vote For 5)","Andrea Casciato Hulsman","REP",2776,9.37,28068,0,38,38,"0","0"
108,"School Director BALDWIN WHITEHALL (Vote For 5)","WRITE-IN","",97,0.33,28068,0,38,38,"0","0"
109,"School Director BETHEL PARK (Vote For 5)","James Modrak","D/R",7411,19.55,26458,0,29,29,"0","0"
110,"School Director BETHEL PARK (Vote For 5)","Kimberly Walsh Turner","D/R",7203,19.00,26458,0,29,29,"0","0"
111,"School Director BETHEL PARK (Vote For 5)","Darren McGregor","D/R",7099,18.73,26458,0,29,29,"0","0"
112,"School Director BETHEL PARK (Vote For 5)","Barry Christenson","D/R",7079,18.67,26458,0,29,29,"0","0"
113,"School Director BETHEL PARK (Vote For 5)","Vincent Scalzo","DEM",5612,14.80,26458,0,29,29,"0","0"
114,"School Director BETHEL PARK (Vote For 5)","Jim Means","REP",3401,8.97,26458,0,29,29,"0","0"
115,"School Director BETHEL PARK (Vote For 5)","WRITE-IN","",103,0.27,26458,0,29,29,"0","0"
116,"School Director BRENTWOOD (Vote For 5)","Amy L. Hayden","D/R",1241,21.27,6751,0,10,10,"0","0"
117,"School Director BRENTWOOD (Vote For 5)","Robert F. Kircher, Jr.","D/R",1179,20.21,6751,0,10,10,"0","0"
118,"School Director BRENTWOOD (Vote For 5)","Roger E. Gaughan","D/R",1149,19.69,6751,0,10,10,"0","0"
119,"School Director BRENTWOOD (Vote For 5)","David P. Schaap","D/R",1123,19.25,6751,0,10,10,"0","0"
120,"School Director BRENTWOOD (Vote For 5)","Richard H. Briner","D/R",1090,18.68,6751,0,10,10,"0","0"
121,"School Director BRENTWOOD (Vote For 5)","WRITE-IN","",53,0.91,6751,0,10,10,"0","0"
122,"School Director CHARTIERS VALLEY (Vote For 5)","Jeff Choura","D/R",5241,20.74,22871,0,29,29,"0","0"
123,"School Director CHARTIERS VALLEY (Vote For 5)","Sandra Zeleznik","D/R",5184,20.52,22871,0,29,29,"0","0"
124,"School Director CHARTIERS VALLEY (Vote For 5)","Robert Kearney","D/R",4938,19.54,22871,0,29,29,"0","0"
125,"School Director CHARTIERS VALLEY (Vote For 5)","Mark Kuczinski","D/R",4921,19.48,22871,0,29,29,"0","0"
126,"School Director CHARTIERS VALLEY (Vote For 5)","Darren G. Mariano","D/R",4905,19.41,22871,0,29,29,"0","0"
127,"School Director CHARTIERS VALLEY (Vote For 5)","WRITE-IN","",79,0.31,22871,0,29,29,"0","0"
128,"School Director CORNELL (Vote For 5)","Karen K. Murphy","D/R",1114,21.26,4812,0,10,10,"0","0"
129,"School Director CORNELL (Vote For 5)","Michael Griffith","D/R",1054,20.11,4812,0,10,10,"0","0"
130,"School Director CORNELL (Vote For 5)","Linda Solecki","D/R",1026,19.58,4812,0,10,10,"0","0"
131,"School Director CORNELL (Vote For 5)","Caryn Code","D/R",967,18.45,4812,0,10,10,"0","0"
132,"School Director CORNELL (Vote For 5)","Mark Cavicchia","D/R",1050,20.04,4812,0,10,10,"0","0"
133,"School Director CORNELL (Vote For 5)","WRITE-IN","",29,0.55,4812,0,10,10,"0","0"
134,"School Director DEER LAKES (Vote For 5)","Louis W. Buck, III","D/R",1893,17.22,10192,0,11,11,"0","0"
135,"School Director DEER LAKES (Vote For 5)","Larry Neidig","D/R",2089,19.00,10192,0,11,11,"0","0"
136,"School Director DEER LAKES (Vote For 5)","Jodi Banyas-Galecki","DEM",1346,12.24,10192,0,11,11,"0","0"
137,"School Director DEER LAKES (Vote For 5)","Sam Smallwood","D/R",2021,18.38,10192,0,11,11,"0","0"
138,"School Director DEER LAKES (Vote For 5)","Cristy McCloskey","D/R",2186,19.88,10192,0,11,11,"0","0"
139,"School Director DEER LAKES (Vote For 5)","William A. LuPone, Jr.","REP",1429,13.00,10192,0,11,11,"0","0"
140,"School Director DEER LAKES (Vote For 5)","WRITE-IN","",32,0.29,10192,0,11,11,"0","0"
141,"School Director DUQUESNE (Vote For 5)","Calvina Harris","DEM",559,20.94,3847,0,10,10,"0","0"
142,"School Director DUQUESNE (Vote For 5)","Sonya Gooden","DEM",555,20.79,3847,0,10,10,"0","0"
143,"School Director DUQUESNE (Vote For 5)","Maxine Thomas","DEM",526,19.70,3847,0,10,10,"0","0"
144,"School Director DUQUESNE (Vote For 5)","Burton Comensky","DEM",492,18.43,3847,0,10,10,"0","0"
145,"School Director DUQUESNE (Vote For 5)","Cedric F. Robertson","DEM",480,17.98,3847,0,10,10,"0","0"
146,"School Director DUQUESNE (Vote For 5)","WRITE-IN","",58,2.17,3847,0,10,10,"0","0"
147,"School Director ELIZABETH FORWARD (Vote For 5)","Megan K. Ferraro","D/R",2527,19.20,12429,0,16,16,"0","0"
148,"School Director ELIZABETH FORWARD (Vote For 5)","Thomas J. Sharkey","D/R",2301,17.48,12429,0,16,16,"0","0"
149,"School Director ELIZABETH FORWARD (Vote For 5)","Richard Borkowski","D/R",2300,17.48,12429,0,16,16,"0","0"
150,"School Director ELIZABETH FORWARD (Vote For 5)","Travis A. Stoffer","D/R",2371,18.02,12429,0,16,16,"0","0"
151,"School Director ELIZABETH FORWARD (Vote For 5)","Samuel G. Coccia, Jr.","DEM",1606,12.20,12429,0,16,16,"0","0"
152,"School Director ELIZABETH FORWARD (Vote For 5)","Scott R. Henry","REP",1951,14.82,12429,0,16,16,"0","0"
153,"School Director ELIZABETH FORWARD (Vote For 5)","WRITE-IN","",105,0.80,12429,0,16,16,"0","0"
154,"School Director FORT CHERRY (Vote For 5)","Louis R. Ursitz","D/R",42,20.29,222,0,1,1,"0","0"
155,"School Director FORT CHERRY (Vote For 5)","Juliann Sepesy","D/R",39,18.84,222,0,1,1,"0","0"
156,"School Director FORT CHERRY (Vote For 5)","Jodi Nation McKay","D/R",38,18.36,222,0,1,1,"0","0"
157,"School Director FORT CHERRY (Vote For 5)","Melinda Longstreth Errett","D/R",34,16.43,222,0,1,1,"0","0"
158,"School Director FORT CHERRY (Vote For 5)","Beverly Ann Schwab","D/R",36,17.39,222,0,1,1,"0","0"
159,"School Director FORT CHERRY (Vote For 5)","Corey Matchett","IND",18,8.70,222,0,1,1,"0","0"
160,"School Director FORT CHERRY (Vote For 5)","WRITE-IN","",0,0.00,222,0,1,1,"0","0"
161,"School Director GATEWAY (Vote For 5)","Susan DeLaney","D/R",4529,20.57,23487,0,28,28,"0","0"
162,"School Director GATEWAY (Vote For 5)","Valerie Warning","D/R",4254,19.32,23487,0,28,28,"0","0"
163,"School Director GATEWAY (Vote For 5)","Mary Beth Cirucci","D/R",4325,19.64,23487,0,28,28,"0","0"
164,"School Director GATEWAY (Vote For 5)","Scott Gallagher","D/R",4291,19.49,23487,0,28,28,"0","0"
165,"School Director GATEWAY (Vote For 5)","John D. Ritter","D/R",4492,20.40,23487,0,28,28,"0","0"
166,"School Director GATEWAY (Vote For 5)","WRITE-IN","",125,0.57,23487,0,28,28,"0","0"
167,"School Director HAMPTON (Vote For 5)","Joy S. Midgley","D/R",3206,18.81,14286,0,13,13,"0","0"
168,"School Director HAMPTON (Vote For 5)","Trisha Webb","DEM",2265,13.29,14286,0,13,13,"0","0"
169,"School Director HAMPTON (Vote For 5)","Bryant Wesley","D/R",3143,18.44,14286,0,13,13,"0","0"
170,"School Director HAMPTON (Vote For 5)","Robert J. Shages","D/R",3078,18.06,14286,0,13,13,"0","0"
171,"School Director HAMPTON (Vote For 5)","Matthew Jarrell","D/R",3061,17.96,14286,0,13,13,"0","0"
172,"School Director HAMPTON (Vote For 5)","Larry Vasko","REP",2261,13.27,14286,0,13,13,"0","0"
173,"School Director HAMPTON (Vote For 5)","WRITE-IN","",28,0.16,14286,0,13,13,"0","0"
174,"School Director MCKEESPORT AREA (Vote For 5)","James L. Brown","DEM",3640,19.23,20871,0,45,45,"0","0"
175,"School Director MCKEESPORT AREA (Vote For 5)","Steven E. Kondrosky","D/R",4233,22.36,20871,0,45,45,"0","0"
176,"School Director MCKEESPORT AREA (Vote For 5)","Diane Elias","DEM",3412,18.03,20871,0,45,45,"0","0"
177,"School Director MCKEESPORT AREA (Vote For 5)","Joe Lopretto","D/R",4241,22.40,20871,0,45,45,"0","0"
178,"School Director MCKEESPORT AREA (Vote For 5)","Mindy Sturgess","DEM",3302,17.44,20871,0,45,45,"0","0"
179,"School Director MCKEESPORT AREA (Vote For 5)","WRITE-IN","",101,0.53,20871,0,45,45,"0","0"
180,"School Director MOON AREA (Vote For 5)","Danielle Zieger","D/R",4286,20.28,20956,0,15,15,"0","0"
181,"School Director MOON AREA (Vote For 5)","Mark Scappe","D/R",4115,19.47,20956,0,15,15,"0","0"
182,"School Director MOON AREA (Vote For 5)","Robert Harper","D/R",4284,20.27,20956,0,15,15,"0","0"
183,"School Director MOON AREA (Vote For 5)","Jen Partica","D/R",4119,19.49,20956,0,15,15,"0","0"
184,"School Director MOON AREA (Vote For 5)","James Bogatay","D/R",4180,19.78,20956,0,15,15,"0","0"
185,"School Director MOON AREA (Vote For 5)","WRITE-IN","",150,0.71,20956,0,15,15,"0","0"
186,"School Director MT LEBANON (Vote For 5)","Valerie Fleisher","D/R",7314,20.56,27576,0,38,38,"0","0"
187,"School Director MT LEBANON (Vote For 5)","Sarah L. Olbrich","D/R",7269,20.43,27576,0,38,38,"0","0"
188,"School Director MT LEBANON (Vote For 5)","Hugh L. Beal","D/R",6996,19.66,27576,0,38,38,"0","0"
189,"School Director MT LEBANON (Vote For 5)","Justin D. Hackett","D/R",6957,19.55,27576,0,38,38,"0","0"
190,"School Director MT LEBANON (Vote For 5)","Jacob Wyland","D/R",6906,19.41,27576,0,38,38,"0","0"
191,"School Director MT LEBANON (Vote For 5)","WRITE-IN","",136,0.38,27576,0,38,38,"0","0"
192,"School Director NORTH ALLEGHENY (Vote For 5)","Elizabeth Warner","DEM",6774,11.91,41741,0,37,37,"0","0"
193,"School Director NORTH ALLEGHENY (Vote For 5)","Kevin Mahler","DEM",6604,11.61,41741,0,37,37,"0","0"
194,"School Director NORTH ALLEGHENY (Vote For 5)","Christopher D. Disque","DEM",6345,11.15,41741,0,37,37,"0","0"
195,"School Director NORTH ALLEGHENY (Vote For 5)","Libby Blackburn","D/R",8981,15.79,41741,0,37,37,"0","0"
196,"School Director NORTH ALLEGHENY (Vote For 5)","Marcie Crow","D/R",8567,15.06,41741,0,37,37,"0","0"
197,"School Director NORTH ALLEGHENY (Vote For 5)","Shannon Yeakel","REP",6631,11.66,41741,0,37,37,"0","0"
198,"School Director NORTH ALLEGHENY (Vote For 5)","Margaret G. Lehew","REP",6544,11.50,41741,0,37,37,"0","0"
199,"School Director NORTH ALLEGHENY (Vote For 5)","Mark Giuliani","REP",6379,11.21,41741,0,37,37,"0","0"
200,"School Director NORTH ALLEGHENY (Vote For 5)","WRITE-IN","",68,0.12,41741,0,37,37,"0","0"
201,"School Director NORTH HILLS (Vote For 5)","Helen D. Spade","DEM",5253,12.78,29638,0,40,40,"0","0"
202,"School Director NORTH HILLS (Vote For 5)","Rachael Rennebeck","DEM",4738,11.53,29638,0,40,40,"0","0"
203,"School Director NORTH HILLS (Vote For 5)","Deanna Philpott","DEM",4747,11.55,29638,0,40,40,"0","0"
204,"School Director NORTH HILLS (Vote For 5)","Katie Poniatowski","D/R",5818,14.16,29638,0,40,40,"0","0"
205,"School Director NORTH HILLS (Vote For 5)","Phil Little","DEM",5033,12.25,29638,0,40,40,"0","0"
206,"School Director NORTH HILLS (Vote For 5)","Lou Nudi","REP",3868,9.41,29638,0,40,40,"0","0"
207,"School Director NORTH HILLS (Vote For 5)","Ed Wielgus","REP",4056,9.87,29638,0,40,40,"0","0"
208,"School Director NORTH HILLS (Vote For 5)","Tom Kelly","REP",3670,8.93,29638,0,40,40,"0","0"
209,"School Director NORTH HILLS (Vote For 5)","Joe Muha","REP",3835,9.33,29638,0,40,40,"0","0"
210,"School Director NORTH HILLS (Vote For 5)","WRITE-IN","",70,0.17,29638,0,40,40,"0","0"
211,"School Director NORTHGATE (Vote For 5)","Michael Rajakovic","D/R",1846,20.89,9983,0,12,12,"0","0"
212,"School Director NORTHGATE (Vote For 5)","Shannon I. Smithey","D/R",1757,19.89,9983,0,12,12,"0","0"
213,"School Director NORTHGATE (Vote For 5)","Cindy West","D/R",1740,19.69,9983,0,12,12,"0","0"
214,"School Director NORTHGATE (Vote For 5)","Lanae Lumsden","DEM",1677,18.98,9983,0,12,12,"0","0"
215,"School Director NORTHGATE (Vote For 5)","Daniel J. O'Keefe","D/R",1737,19.66,9983,0,12,12,"0","0"
216,"School Director NORTHGATE (Vote For 5)","WRITE-IN","",78,0.88,9983,0,12,12,"0","0"
217,"School Director PENN HILLS (Vote For 5)","Erin Vecchio","D/R",5508,15.68,32233,0,50,50,"0","0"
218,"School Director PENN HILLS (Vote For 5)","Robert A. Marra","D/R",6174,17.58,32233,0,50,50,"0","0"
219,"School Director PENN HILLS (Vote For 5)","Jakie Blakey-Tate","D/R",6297,17.93,32233,0,50,50,"0","0"
220,"School Director PENN HILLS (Vote For 5)","Meryl R. Thomas","D/R",6357,18.10,32233,0,50,50,"0","0"
221,"School Director PENN HILLS (Vote For 5)","Elizabeth H. Rosemeyer","D/R",6151,17.51,32233,0,50,50,"0","0"
222,"School Director PENN HILLS (Vote For 5)","Michele Greene","IND",4503,12.82,32233,0,50,50,"0","0"
223,"School Director PENN HILLS (Vote For 5)","WRITE-IN","",129,0.37,32233,0,50,50,"0","0"
224,"School Director PLUM (Vote For 5)","Amy L. Wetmore","DEM",2817,10.17,19420,0,21,21,"0","0"
225,"School Director PLUM (Vote For 5)","Michael Caliguiri","DEM",3110,11.23,19420,0,21,21,"0","0"
226,"School Director PLUM (Vote For 5)","Michael Devine","DEM",3365,12.15,19420,0,21,21,"0","0"
227,"School Director PLUM (Vote For 5)","Adam Hill","DEM",2912,10.51,19420,0,21,21,"0","0"
228,"School Director PLUM (Vote For 5)","Michelle Stepnick","DEM",2760,9.96,19420,0,21,21,"0","0"
229,"School Director PLUM (Vote For 5)","Steve Schlauch","REP",2654,9.58,19420,0,21,21,"0","0"
230,"School Director PLUM (Vote For 5)","Sue Caldwell","REP",2637,9.52,19420,0,21,21,"0","0"
231,"School Director PLUM (Vote For 5)","Karin Acquaviva","REP",2524,9.11,19420,0,21,21,"0","0"
232,"School Director PLUM (Vote For 5)","Jacqueline A. Thomas","REP",2406,8.68,19420,0,21,21,"0","0"
233,"School Director PLUM (Vote For 5)","Nathan Polacek","REP",2375,8.57,19420,0,21,21,"0","0"
234,"School Director PLUM (Vote For 5)","WRITE-IN","",143,0.52,19420,0,21,21,"0","0"
235,"School Director RIVERVIEW (Vote For 5)","Jennifer K. Chaparro","D/R",1821,18.07,7320,0,9,9,"0","0"
236,"School Director RIVERVIEW (Vote For 5)","Jane Miller","D/R",1681,16.68,7320,0,9,9,"0","0"
237,"School Director RIVERVIEW (Vote For 5)","Tara Jean Schaaf","DEM",1469,14.58,7320,0,9,9,"0","0"
238,"School Director RIVERVIEW (Vote For 5)","Maureen W. McClure","D/R",1575,15.63,7320,0,9,9,"0","0"
